Abbrivation,Name,Percent,Price
BTC,Bitcoin,-0.16%,"$37,315.33"
ETH,Ethereum,0.43%,"$2,065.50"
BNB,Binance Coin,-0.87%,$233.77
XRP,XRP,1.78%,$0.62089760
SOL,Solana,-0.56%,$56.94
ADA,Cardano,1.87%,$0.38608550
DOGE,Dogecoin,1.51%,$0.07658995
TRX,Tron,1.14%,$0.10232838
TON,Toncoin,1.21%,$2.44
LINK,Chainlink,1.56%,$14.41
AVAX,Avalanche,-0.86%,$20.45
MATIC,Polygon,0.65%,$0.77496783
DOT,Polkadot,0.05%,$5.16
WBTC,Wrapped Bitcoin,-0.44%,"$37,389.84"
LTC,Litecoin,1.33%,$69.57
UNI,Uniswap,5.43%,$6.47
SHIB,Shiba Inu,0.51%,"$0,0"
BCH,Bitcoin Cash,1.37%,$225.83
LEO,UNUS SED LEO,-0.02%,$4.07
OKB,OKB,0.35%,$58.23
XLM,Stellar,-0.78%,$0.11723377
TUSD,TrueUSD,-0.27%,$0.99519413
XMR,Monero,1.88%,$166.56
KAS,Kaspa,2.83%,$0.12702859
ETC,Ethereum Classic,-0.10%,$18.92
ATOM,Cosmos,-0.53%,$8.74
CRO,Cronos,-1.14%,$0.09512119
FIL,Filecoin,-0.12%,$4.65
LDO,Lido DAO,-4.23%,$2.42
HBAR,Hedera,-0.38%,$0.06208534
ICP,Internet Computer,4.14%,$4.63
APT,Aptos,0.56%,$7.30
NEAR,NEAR Protocol,-0.07%,$1.80
IMX,Immutable X,3.47%,$1.43
BUSD,Binance USD,-0.02%,$1.00
RUNE,THORChain,-4.91%,$5.51
OP,Optimism,5.91%,$1.83
VET,VeChain,1.26%,$0.02120254
QNT,Quant,-0.70%,$97.68
AAVE,Aave,0.18%,$94.41
MKR,Maker,0.08%,"$1,469.94"
ARB,Arbitrum,1.15%,$1.03
GRT,The Graph,-2.94%,$0.13776021
INJ,Injective Protocol,-4.36%,$15.19
RNDR,Render Token,-1.53%,$3.26
EGLD,MultiverseX,1.93%,$44.10
SNX,Synthetix,-0.25%,$3.39
ALGO,Algorand,-0.97%,$0.13089483
THETA,Theta,1.55%,$0.95746248
FLOW,Flow,-0.65%,$0.63629804
BSV,Bitcoin SV,0.84%,$47.28
STX,Stacks,0.26%,$0.63223616
SAND,The Sandbox,2.36%,$0.39988467
FTM,Fantom,0.51%,$0.29849963
NEO,NEO,4.75%,$11.20
AXS,Axie Infinity,0.36%,$5.89
EOS,EOS,-0.09%,$0.67566817
MANA,Decentraland,0.76%,$0.40677057
KCS,KuCoin Token,3.05%,$7.71
KAVA,Kava.io,2.35%,$0.76142739
XTZ,Tezos,0.99%,$0.81577183
USDD,USDD,0.07%,$0.99830230
KLAY,Klaytn,5.56%,$0.21949451
XDC,XDC Network,-1.45%,$0.05026283
MINA,Mina,5.63%,$0.67922239
GALA,Gala,-4.43%,$0.02411238
RPL,Rocket Pool,0.78%,$30.50
XRD,Radix,0.18%,$0.05858621
ILV,Illuvium,-4.11%,$99.30
GAS,GAS,19.74%,$9.19
DYDX,dYdX,-3.06%,$3.35
GT,GateToken,1.96%,$4.35
WEMIX,Wemix,0.07%,$1.78
SUI,Sui,5.72%,$0.58662963
BLUR,BLUR,3.79%,$0.51321536
CAKE,PancakeSwap,-1.98%,$2.40
XEC,eCash,0.62%,$0.00002874
IOTA,IOTA,1.07%,$0.18316289
FXS,Frax Share,-0.06%,$7.23
CRV,Curve DAO Token,0.78%,$0.58455755
CFX,Conflux,-0.05%,$0.15225770
FET,Fetch.ai,-3.07%,$0.50109504
CHZ,Chiliz,3.05%,$0.07474382
APE,ApeCoin,-3.29%,$1.41
GNO,Gnosis,0.15%,$199.27
AR,Arweave,0.30%,$7.74
TWT,Trust Wallet Token,2.79%,$1.17
GMX,GMX,0.89%,$51.94
HT,Huobi Token,0.03%,$2.99
PAXG,PAX Gold,0.02%,"$1,979.36"
BTT,BitTorrent,1.28%,"$0,0"
USDP,Paxos Dollar,-0.06%,$0.98598526
LUNC,Luna Classic,-0.75%,$0.00007381
NEXO,Nexo,1.87%,$0.75239645
ZEC,Zcash,1.45%,$28.88
OSMO,Osmosis,0.02%,$0.63657836
WOO,Woo Network,0.82%,$0.22360614
CSPR,Casper,1.11%,$0.03351615
GMT,Stepn,0.23%,$0.27508261
1INCH,1inch Network,2.23%,$0.36050203
LUNA,Terra 2.0/LUNA,-0.92%,$0.63319596
SEI,SEI,11.36%,$0.20383720
ZIL,Zilliqa,1.86%,$0.02106584
AKT,Akash Network,-4.48%,$1.62
ROSE,Oasis Network,0.93%,$0.07135454
COMP,Compound,2.83%,$51.67
ASTR,Astar,1.41%,$0.06553347
AGIX,SingularityNET,-1.75%,$0.27932531
AXL,Axelar,5.70%,$0.71485020
DASH,Dash,1.94%,$29.64
HNT,Helium,-1.47%,$2.30
QTUM,Qtum,1.28%,$3.10
XEM,NEM,-0.25%,$0.03552208
FLR,Flare,2.71%,$0.01112684
FLOKI,FLOKI,-3.19%,$0.00003203
BAT,Basic Attention Token,1.48%,$0.21110538
CVX,Convex Finance,0.30%,$3.77
BDX,Beldex,3.89%,$0.05036853
YFI,Yearn Finance,4.17%,"$8,600.91"
WLD,Worldcoin,-3.58%,$2.41
MASK,Mask Network,1.15%,$3.40
CELO,Celo,1.92%,$0.52837765
HOT,Holo,2.30%,$0.00153790
SFP,SafePal,-1.70%,$0.64401856
ENJ,Enjin,-0.68%,$0.27069171
LRC,Loopring,2.31%,$0.21250918
BTG,Bitcoin Gold,-1.32%,$15.09
SKL,Skale,-0.42%,$0.05266077
BONK,Bonk,-11.17%,"$0,0"
ICX,ICON,1.96%,$0.26156706
ANKR,Ankr,-1.04%,$0.02449763
JASMY,JasmyCoin,-1.49%,$0.00498563
XCH,Chia,-0.10%,$26.41
IOTX,IoTeX,4.31%,$0.02546116
SUSHI,Sushiswap,14.37%,$1.24
GLM,Golem,-0.30%,$0.23676424
SC,Siacoin,-0.25%,$0.00453783
DCR,Decred,-2.42%,$14.31
KSM,Kusama,2.70%,$24.49
ENS,Ethereum Name Service,0.33%,$8.45
ANT,Aragon,1.05%,$5.30
AUDIO,Audius,0.18%,$0.18130262
WAVES,Waves,2.13%,$2.10
WAXP,Wax,-0.69%,$0.06151972
RVN,Ravencoin,0.43%,$0.01717682
SXP,SXP,0.61%,$0.34570396
GLMR,Moonbeam,0.29%,$0.24849374
LPT,Livepeer,0.89%,$6.57
TOMI,tomiNet,2.85%,$2.27
BAND,Band Protocol,0.00%,$1.41
