CHG,Name,Ticker,Yield,url
0.034,U.S. 10 Year Treasury Note,TMUBMUSD10Y,4.446%,https://www.marketwatch.com/investing/bonds?mod=investing
0.034,Germany 10 Year Government Bond,TMBMKDE-10Y,2.621%,https://www.marketwatch.com/investing/bonds?mod=investing
0.034,Italy 10 Year Government Bond,TMBMKIT-10Y,4.392%,https://www.marketwatch.com/investing/bonds?mod=investing
0.034,Spain 10 Year Government Bond,TMBMKES-10Y,3.614%,https://www.marketwatch.com/investing/bonds?mod=investing
0.034,U.K. 10 Year Gilt,TMBMKGB-10Y,4.256%,https://www.marketwatch.com/investing/bonds?mod=investing
0.034,Japan 10 Year Government Bond,TMBMKJP-10Y,0.754%,https://www.marketwatch.com/investing/bonds?mod=investing
-0.73,Crude Oil Continuous Contract,CL00,,https://www.marketwatch.com/investing/futures?mod=investing
1.80,Gold Continuous Contract,GC00,,https://www.marketwatch.com/investing/futures?mod=investing
0.057,Silver Continuous Contract,SI00,,https://www.marketwatch.com/investing/futures?mod=investing
0.045,Natural Gas Continuous Contract,NG00,,https://www.marketwatch.com/investing/futures?mod=investing
-0.0142,RBOB Gasoline Continuous Contract,RB00,,https://www.marketwatch.com/investing/futures?mod=investing
0.0135,Copper Continuous Contract,HG00,,https://www.marketwatch.com/investing/futures?mod=investing
-0.25,Corn Continuous Contract,C00,,https://www.marketwatch.com/investing/futures?mod=investing
3.50,Wheat Continuous Contract,W00,,https://www.marketwatch.com/investing/futures?mod=investing
52,Bitcoin USD,BTCUSD,,https://www.marketwatch.com/investing/cryptocurrency?mod=investing
0.0001,Euro,EURUSD,,https://www.marketwatch.com/investing/currencies?mod=investing
-335.00,Bitcoin (CME) Front Month,BTC.1,,https://www.marketwatch.com/investing/cryptocurrency?mod=investing
-3.24,Ethereum USD,ETHUSD,,https://www.marketwatch.com/investing/cryptocurrency?mod=investing
0.0025,XRP USD,XRPUSD,,https://www.marketwatch.com/investing/cryptocurrency?mod=investing
0.42,Bitcoin Cash USD,BCHUSD,,https://www.marketwatch.com/investing/cryptocurrency?mod=investing
0.1600,Litecoin USD,LTCUSD,,https://www.marketwatch.com/investing/cryptocurrency?mod=investing
-0.07,Japanese Yen,USDJPY,,https://www.marketwatch.com/investing/currencies?mod=investing
0.0010,British Pound,GBPUSD,,https://www.marketwatch.com/investing/currencies?mod=investing
0.0011,Australian Dollar,AUDUSD,,https://www.marketwatch.com/investing/currencies?mod=investing
-0.17,U.S. Dollar Index (DXY),DXY,,https://www.marketwatch.com/investing/currencies?mod=investing
-0.04,WSJ Dollar Index,BUXX,,https://www.marketwatch.com/investing/currencies?mod=investing
0.10,Monero USD,XMRUSD,,https://www.marketwatch.com/investing/cryptocurrency?mod=investing
52,Bitcoin USD,BTCUSD,,https://www.marketwatch.com/investing/currencies?mod=investing
-3.24,Ethereum USD,ETHUSD,,https://www.marketwatch.com/investing/currencies?mod=investing
0.0025,XRP USD,XRPUSD,,https://www.marketwatch.com/investing/currencies?mod=investing
0.42,Bitcoin Cash USD,BCHUSD,,https://www.marketwatch.com/investing/currencies?mod=investing
0.1600,Litecoin USD,LTCUSD,,https://www.marketwatch.com/investing/currencies?mod=investing
0.10,Monero USD,XMRUSD,,https://www.marketwatch.com/investing/currencies?mod=investing
