url,Name,Abbrivation,Price,Change % 1D,Change 1D,High 1D,Low 1D,Technical Rating 1D
https://www.tradingview.com/markets/indices/quotes-all/,S&P 500,SPX,4556.63,+0.41%,18.45,4568.43,4545.05,Buy
https://www.tradingview.com/markets/indices/quotes-all/,US COMPOSITE INDEX,IXIC,14265.86,+0.46%,65.88,14359.61,14226.63,Strong buy
https://www.tradingview.com/markets/indices/quotes-all/,Dow Jones Industrial Average,DJI,35273.04,+0.53%,184.74,35315.20,35155.80,Strong buy
https://www.tradingview.com/markets/indices/quotes-all/,CBOE VOLATILITY INDEX,VIX,12.85,−3.75%,−0.50,13.25,12.82,Strong sell
https://www.tradingview.com/markets/indices/quotes-all/,S&P/TSX COMPOSITE INDEX,TSX,20116.66,+0.01%,2.70,20179.32,20101.89,Buy
https://www.tradingview.com/markets/indices/quotes-all/,UK 100 INDEX,UKX,7483.59,+0.19%,14.07,7494.77,7450.60,Neutral
https://www.tradingview.com/markets/indices/quotes-all/,DAX INDEX,DAX,15994.73,+0.23%,36.91,16005.45,15958.06,Buy
https://www.tradingview.com/markets/indices/quotes-all/,CAC 40,PX1,7277.93,+0.24%,17.20,7285.29,7263.67,Buy
https://www.tradingview.com/markets/indices/quotes-all/,MILANO ITALIA BORSA INDEX,FTMIB,29235.70,+0.28%,80.80,29273.32,29079.75,Buy
https://www.tradingview.com/markets/indices/quotes-all/,NIKKEI 225,NI225,33776.19,+0.97%,324.43,33781.81,33657.95,Buy
https://www.tradingview.com/markets/indices/quotes-all/,KOREA COMPOSITE STOCK PRICE INDEX (KOSPI),KOSPI,2512.42,−0.10%,−2.55,2521.56,2510.42,Buy
https://www.tradingview.com/markets/indices/quotes-all/,SSE COMPOSITE INDEX,000001,3061.8562,+0.60%,18.2451,3062.8665,3034.2969,Buy
https://www.tradingview.com/markets/indices/quotes-all/,SHENZHEN COMPONENT INDEX,399001,9933.0195,+0.78%,77.3593,9938.8418,9814.1699,Sell
https://www.tradingview.com/markets/indices/quotes-all/,HANG SENG INDEX,HSI,17910.84,+0.99%,176.24,17927.36,17577.31,Buy
https://www.tradingview.com/markets/indices/quotes-all/,STRAITS TIMES INDEX,STI,3111.76,−0.10%,−3.17,3116.84,3098.16,Sell
https://www.tradingview.com/markets/indices/quotes-all/,S&P/ASX 200,XJO,7062.2,+0.47%,33.0,7064.8,7028.2,Buy
https://www.tradingview.com/markets/indices/quotes-all/,S&P/NZX 50 INDEX GROSS ( GROSS INDEX ),NZ50G,11183.56,−0.04%,−3.96,11201.69,11164.74,Buy
https://www.tradingview.com/markets/indices/quotes-all/,TSEC WEIGHTED INDEX,TAIEX,17294.55,−0.09%,−15.71,17343.61,17228.45,Buy
https://www.tradingview.com/markets/indices/quotes-all/,FTSE BURSA MALAYSIA KLCI INDEX,FBMKLCI,1453.29,−0.18%,−2.60,1456.68,1451.35,Buy
https://www.tradingview.com/markets/indices/quotes-all/,IDX COMPOSITE,COMPOSITE,7004.3442,+1.41%,97.3911,7018.4292,6926.2612,Strong buy
https://www.tradingview.com/markets/indices/quotes-all/,STOXX 50,SX5E,4361.33,+0.21%,9.30,4363.65,4350.42,Buy
https://www.tradingview.com/markets/indices/quotes-all/,IBEX 35,IBC,9905.50,+0.18%,18.10,9921.00,9873.90,Buy
https://www.tradingview.com/markets/indices/quotes-all/,SWISS MARKET INDEX,SMI,10851.62,+0.18%,19.23,10853.52,10806.18,Buy
https://www.tradingview.com/markets/indices/quotes-all/,WIG20,WIG20,2225.60,−0.69%,−15.56,2250.00,2223.46,Buy
https://www.tradingview.com/markets/indices/quotes-all/,AEX-INDEX,AEX,762.32,+0.30%,2.28,762.44,759.28,Buy
https://www.tradingview.com/markets/indices/quotes-all/,BEL 20,BEL20,3570.10,+0.68%,24.07,3570.10,3545.75,Buy
https://www.tradingview.com/markets/indices/quotes-all/,MOEX Russia Index,IMOEX,3221.05,−0.30%,−9.60,3238.81,3218.72,Buy
https://www.tradingview.com/markets/indices/quotes-all/,OMX HELSINKI 25,OMXH25,4354.5000,+0.50%,21.7422,4356.8223,4328.7061,Buy
https://www.tradingview.com/markets/indices/quotes-all/,OMX ICELAND 10,OMXI10,2079.30250,+0.04%,0.93340,2087.23560,2067.64230,Sell
https://www.tradingview.com/markets/indices/quotes-all/,OMX STOCKHOLM 30 INDEX,OMXS30,2226.3442,+0.59%,13.1616,2231.5857,2213.4128,Buy
https://www.tradingview.com/markets/indices/quotes-all/,OMX COPENHAGEN 25 INDEX,OMXC25,1708.95500,+0.24%,4.10710,1711.60410,1700.75760,Buy
https://www.tradingview.com/markets/indices/quotes-all/,BELEX 15,BELEX15,880.24,+0.47%,4.09,883.73,875.67,Buy
https://www.tradingview.com/markets/indices/quotes-all/,OMX RIGA GI,OMXRGI,1364.6327,−0.50%,−6.8805,1365.8120,1358.5824,Sell
https://www.tradingview.com/markets/indices/quotes-all/,OMX TALLINN GI,OMXTGI,1753.5980,+0.22%,3.8177,1756.5089,1750.0314,Sell
https://www.tradingview.com/markets/indices/quotes-all/,OMX VILNIUS GI,OMXVGI,940.6421,+0.17%,1.5680,940.9663,937.1993,Buy
https://www.tradingview.com/markets/indices/quotes-all/,BIST 100,XU100,7898.59,−1.11%,−88.44,8062.11,7898.59,Buy
https://www.tradingview.com/markets/indices/quotes-all/,TA-35,TA35,1797.160,+0.26%,4.720,1801.790,1778.220,Strong buy
https://www.tradingview.com/markets/indices/quotes-all/,SOUTH AFRICA TOP 40 INDEX,SA40,69340.49,+0.95%,650.75,69583.40,68689.75,Strong buy
https://www.tradingview.com/markets/indices/quotes-all/,NIFTY 50,NIFTY,19802.00,−0.05%,−9.85,19875.15,19786.75,Buy
https://www.tradingview.com/markets/indices/quotes-all/,S&P BSE SENSEX,SENSEX,66017.81,−0.01%,−5.43,66235.24,65980.50,Buy
https://www.tradingview.com/markets/indices/quotes-all/,DFM GENERAL INDEX,DFMGI,3985.00,−0.30%,−12.00,3997.50,3976.15,Buy
https://www.tradingview.com/markets/indices/quotes-all/,TADAWUL ALL SHARES INDEX,TASI,11078.080,−0.20%,−21.900,11116.450,11050.190,Buy
https://www.tradingview.com/markets/indices/quotes-all/,QE INDEX,GNRI,10208.50,−0.14%,−14.40,10222.90,10181.69,Buy
https://www.tradingview.com/markets/indices/quotes-all/,BAHRAIN ALL SHARE INDEX,BHBX,1951.732,+0.20%,3.992,1953.045,1948.218,Buy
https://www.tradingview.com/markets/indices/quotes-all/,EGX 30 PRICE RETURN INDEX,EGX30,25519.500,+1.96%,489.900,25563.400,25029.600,Strong buy
https://www.tradingview.com/markets/indices/quotes-all/,BOVESPA INDEX,IBOV,126575.75,+0.43%,540.45,126759.88,125763.78,Buy
https://www.tradingview.com/markets/indices/quotes-all/,S&P/BMV IPC MEXICO,ME,53059.54,+0.74%,389.53,53108.76,52738.19,Strong buy
https://www.tradingview.com/markets/indices/quotes-all/,S&P/BYMA ARGENTINA GENERAL PANEL MERVAL EQUITIES,IMV,878971.250,+4.81%,40354.620,885857.690,831176.250,Strong buy
https://www.tradingview.com/markets/indices/quotes-all/,INDICE DE CAPITALIZACION BURSATIL,ICAP,1127.81,−0.37%,−4.15,1134.77,1123.37,Buy
https://www.tradingview.com/markets/indices/quotes-all/,S&P IPSA,SP_IPSA,5807.190,+0.11%,6.620,5816.960,5770.950,Buy
https://www.tradingview.com/markets/indices/quotes-all/,S&P/BVL PERU GENERAL INDEX TR (PEN),SPBLPGPT,22137.480,+0.32%,71.150,22137.480,22053.760,Neutral
https://www.tradingview.com/markets/indices/quotes-all/,BUDAPEST STOCK INDEX,BUX,56511.84,−0.56%,−316.11,56876.99,56390.75,Neutral
https://www.tradingview.com/markets/indices/quotes-all/,COMPOSITE INDEX,GD,1260.52,+0.14%,1.78,1260.65,1254.50,Strong buy
