url,Name,Abbrivation,Price,Change % 1D,Change 1D,High 1D,Low 1D,Technical Rating 1D
https://www.tradingview.com/markets/indices/quotes-currency/,U.S. DOLLAR CURRENCY INDEX,DXY,103.743,−0.01%,−0.008,103.748,103.743,Sell
https://www.tradingview.com/markets/indices/quotes-currency/,EURO CURRENCY INDEX,EXY,108.88,−0.20%,−0.22,109.19,108.52,Buy
https://www.tradingview.com/markets/indices/quotes-currency/,BRITISH POUND CURRENCY INDEX,BXY,124.95,−0.29%,−0.36,125.45,124.48,Buy
https://www.tradingview.com/markets/indices/quotes-currency/,SWISS FRANC CURRENCY INDEX,SXY,113.12,0.00%,0.00,113.39,112.66,Buy
https://www.tradingview.com/markets/indices/quotes-currency/,JAPANESE YEN CURRENCY INDEX,JXY,66.86,−0.80%,−0.54,67.29,66.78,Neutral
https://www.tradingview.com/markets/indices/quotes-currency/,CANADIAN DOLLAR CURRENCY INDEX,CXY,73.03,+0.07%,0.05,73.07,72.63,Neutral
https://www.tradingview.com/markets/indices/quotes-currency/,AUSTRALIAN DOLLAR CURRENCY INDEX,AXY,65.43,−0.25%,−0.16,65.68,65.21,Buy
https://www.tradingview.com/markets/indices/quotes-currency/,NEW ZEALAND DOLLAR CURRENCY INDEX,ZXY,60.22,−0.48%,−0.29,60.42,59.95,Buy
https://www.tradingview.com/markets/indices/quotes-major/,S&P 500,SPX,4556.63,+0.41%,18.45,4568.43,4545.05,Buy
https://www.tradingview.com/markets/indices/quotes-major/,US COMPOSITE INDEX,IXIC,14265.86,+0.46%,65.88,14359.61,14226.63,Strong buy
https://www.tradingview.com/markets/indices/quotes-major/,Dow Jones Industrial Average,DJI,35273.04,+0.53%,184.74,35315.20,35155.80,Strong buy
https://www.tradingview.com/markets/indices/quotes-major/,CBOE VOLATILITY INDEX,VIX,12.85,−3.75%,−0.50,13.25,12.82,Strong sell
https://www.tradingview.com/markets/indices/quotes-major/,S&P/TSX COMPOSITE INDEX,TSX,20116.66,+0.01%,2.70,20179.32,20101.89,Buy
https://www.tradingview.com/markets/indices/quotes-major/,UK 100 INDEX,UKX,7483.59,+0.19%,14.07,7494.77,7450.60,Neutral
https://www.tradingview.com/markets/indices/quotes-major/,DAX INDEX,DAX,15994.73,+0.23%,36.91,16005.45,15958.06,Buy
https://www.tradingview.com/markets/indices/quotes-major/,CAC 40,PX1,7277.93,+0.24%,17.20,7285.29,7263.67,Buy
https://www.tradingview.com/markets/indices/quotes-major/,MILANO ITALIA BORSA INDEX,FTMIB,29235.70,+0.28%,80.80,29273.32,29079.75,Buy
https://www.tradingview.com/markets/indices/quotes-major/,NIKKEI 225,NI225,33774.86,+0.97%,323.10,33781.81,33657.95,Buy
https://www.tradingview.com/markets/indices/quotes-major/,KOREA COMPOSITE STOCK PRICE INDEX (KOSPI),KOSPI,2512.55,−0.10%,−2.42,2521.56,2510.42,Buy
https://www.tradingview.com/markets/indices/quotes-major/,SSE COMPOSITE INDEX,000001,3061.8562,+0.60%,18.2451,3062.8665,3034.2969,Buy
https://www.tradingview.com/markets/indices/quotes-major/,SHENZHEN COMPONENT INDEX,399001,9933.0195,+0.78%,77.3593,9938.8418,9814.1699,Sell
https://www.tradingview.com/markets/indices/quotes-major/,S&P/ASX 200,XJO,7062.2,+0.47%,33.0,7064.8,7028.2,Buy
https://www.tradingview.com/markets/indices/quotes-major/,IDX COMPOSITE,COMPOSITE,7004.3442,+1.41%,97.3911,7018.4292,6926.2612,Strong buy
https://www.tradingview.com/markets/indices/quotes-major/,STOXX 50,SX5E,4361.33,+0.21%,9.30,4363.65,4350.42,Buy
https://www.tradingview.com/markets/indices/quotes-major/,MOEX Russia Index,IMOEX,3221.05,−0.30%,−9.60,3238.81,3218.72,Buy
https://www.tradingview.com/markets/indices/quotes-major/,BIST 100,XU100,7898.59,−1.11%,−88.44,8062.11,7898.59,Buy
https://www.tradingview.com/markets/indices/quotes-major/,SOUTH AFRICA TOP 40 INDEX,SA40,69340.49,+0.95%,650.75,69583.40,68689.75,Strong buy
https://www.tradingview.com/markets/indices/quotes-major/,NIFTY 50,NIFTY,19802.00,−0.05%,−9.85,19875.15,19786.75,Buy
https://www.tradingview.com/markets/indices/quotes-major/,S&P BSE SENSEX,SENSEX,66017.81,−0.01%,−5.43,66235.24,65980.50,Buy
https://www.tradingview.com/markets/indices/quotes-major/,TADAWUL ALL SHARES INDEX,TASI,11078.080,−0.20%,−21.900,11116.450,11050.190,Buy
https://www.tradingview.com/markets/indices/quotes-major/,BOVESPA INDEX,IBOV,126575.75,+0.43%,540.45,126759.88,125763.78,Buy
https://www.tradingview.com/markets/indices/quotes-major/,S&P/BMV IPC MEXICO,ME,53059.54,+0.74%,389.53,53108.76,52738.19,Strong buy
https://www.tradingview.com/markets/indices/quotes-major/,S&P/BYMA ARGENTINA GENERAL PANEL MERVAL EQUITIES,IMV,878971.250,+4.81%,40354.620,885857.690,831176.250,Strong buy
